,Description,PhonePrice
0,RESULTS,"8,990"
1,Maplin MAP.2 Pro (6 GB / 128 GB) with 6.26 Inch Screen and 5000 mAh Smartphone (Space Black),"9,450"
2,Maplin MAP3 Pro (6GB / 64GB) with 6.26 Inch Touchscreen and 5000 mAh Smartphone (Phantom Black),"9,450"
3,Maplin MAP3 Pro (6GB / 64GB) with 6.26 Inch Screen and 5000 mAh Smartphone (Haze Blue),"9,450"
4,Maplin MAP3 Pro (6GB / 64GB) with 6.26 Inch Screen and 5000 mAh Smartphone (Aqua Blue),"9,950"
5,Maplin MAP.2 Pro (6 GB / 128 GB) with 6.26 Inch Touchscreen and 5000 mAh Smartphone (Royal Gold),"9,950"
6,Maplin MAP.2 Pro (6 GB / 128 GB) with 6.26 Inch Screen and 5000 mAh Smartphone (Charcoal Ink),"9,980"
7,Maplin MAP-.2 Pro (6 GB / 128 GB) with 6.26 Inch Touchscreen and 5000 mAh Smartphone (Royal Gold),"9,980"
8,Maplin MAP-3 Pro (6GB / 64GB) with 6.26 Inch Screen and 5000 mAh Smartphone (Aqua Blue),"9,980"
9,Maplin MAP-2 Pro (6 GB / 128 GB) with 6.26 Inch Touchscreen and 5000 mAh Smartphone (Sun Gold),"9,989"
10,Maplin MAP.2 Pro (6 GB / 128 GB) with 6.26 Inch Touchscreen and 5000 mAh Smartphone (Light Silver),"9,998"
11,"(Renewed) POCO F1 MZB6649IN (Graphite Black, 128GB)","10,999"
12,"(Renewed) Redmi 9 Activ (Coral Green, 6GB RAM, 128GB Storage)","10,999"
13,"(Renewed) Redmi 9 Activ (Metallic Purple, 6GB RAM,128GB Storage)","11,999"
14,"Tecno POVA Neo (Obsidian Black, 6GB RAM, 128GB Storage) | 6000mAh Battery |6.82'' (17.32 cm) HD+Display | DTS Sound","11,999"
15,"Tecno POVA Neo (Geek Blue, 6GB RAM, 128GB Storage) | 6000mAh Battery |6.82 inch HD+Display | DTS Sound","12,499"
16,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","12,989"
17,"Tecno Pova (Speed Purple, 6GB RAM, 128GB Storage)","12,999"
18,"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","13,999"
19,"(Renewed) realme Narzo 30 (Racing Blue, 6GB RAM, 128GB Storage) Without Offers","13,999"
20,"Samsung Galaxy M32 (Light Blue, 6GB RAM, 128GB | FHD+ sAMOLED 90Hz Display | 6000mAh Battery | 64MP Quad Camera","13,999"
21,"Samsung Galaxy M32 (Black, 6GB RAM, 128GB | FHD+ sAMOLED 90Hz Display | 6000mAh Battery | 64MP Quad Camera","14,477"
22,"(Renewed) realme 8i (Space Purple, 6GB RAM, 128GB Storage), Medium","14,490"
