,Description,Ram,Display,Price
0,"POCO M2 (Brick Red, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,"₹11,549"
1,"POCO M2 (Pitch Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,"₹11,549"
2,"POCO M2 (Slate Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,"₹11,549"
3,"SAMSUNG Galaxy M12 (White, 128 GB)",6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,"₹13,398"
4,"SAMSUNG Galaxy M12 (Black, 128 GB)",6 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,"₹13,474"
5,"POCO M4 5G (Cool Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,"₹13,999"
6,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,"₹13,999"
7,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) HD+ Display,"₹13,999"
8,"POCO M4 5G (Power Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,"₹13,999"
9,"POCO M4 5G (Yellow, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.71 cm (6.58 inch) Full HD+ Display,"₹13,999"
10,"SAMSUNG Galaxy M32 (Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,"₹14,148"
11,"SAMSUNG Galaxy M32 (Light Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,"₹14,338"
12,"SAMSUNG Galaxy A12 (Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,"₹14,450"
13,"SAMSUNG Galaxy A12 (Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,"₹14,490"
14,"POCO M4 Pro (Cool Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,"₹14,499"
15,"POCO M4 Pro (Yellow, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,"₹14,499"
16,"POCO M4 Pro (Power Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display,"₹14,499"
17,"Redmi Note 8 (Neptune Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.0 cm (6.3 inch) Full HD+ Display,"₹14,998"
18,"realme Narzo 30 (Racing Silver, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,"₹15,499"
19,"realme Narzo 30 (Racing Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,"₹15,499"
20,"realme Narzo 50 (Speed Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,"₹15,499"
21,"realme Narzo 50 (Speed Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,"₹15,499"
22,"SAMSUNG Galaxy A12 (Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,"₹15,499"
23,"SAMSUNG Galaxy A12 (White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,"₹15,499"
